user_id,property_id,match_score
1,14,70.96
1,8,70.7
1,21,67.05
1,28,66.51
1,19,66.26
2,18,75.13
2,6,73.16
2,19,70.8
2,28,69.1
2,26,67.77
3,5,76.43
3,30,73.56
3,15,73.09
3,8,71.87
3,17,70.08
4,28,74.12
4,26,72.88
4,18,70.64
4,6,69.82
4,19,66.72
5,8,75.43
5,21,71.89
5,28,71.56
5,18,70.98
5,14,70.38
6,5,78.87
6,30,75.42
6,8,75.38
6,17,74.08
6,15,74.06
7,18,73.53
7,6,71.97
7,19,67.51
7,28,65.95
7,26,65.46
8,8,73.45
8,21,69.86
8,5,69.03
8,14,68.24
8,26,68.09
9,20,79.6
9,8,71.46
9,21,69.27
9,28,67.54
9,14,66.58
10,18,74.86
10,6,73.74
10,19,70.09
10,26,67.58
10,28,67.52
11,23,69.98
11,7,69.3
11,5,69.01
11,29,67.7
11,13,66.6
12,18,72.04
12,6,71.11
12,19,69.33
12,25,67.11
12,28,67.04
13,5,77.86
13,8,76.1
13,30,74.96
13,9,73.55
13,15,73.52
14,8,77.03
14,21,72.41
14,28,71.53
14,14,70.83
14,26,69.92
15,8,76.0
15,21,71.85
15,5,71.09
15,28,70.2
15,26,69.3
16,5,79.15
16,30,77.4
16,17,76.38
16,8,75.28
16,15,74.06
17,18,77.12
17,6,72.74
17,28,70.2
17,19,69.89
17,14,68.21
18,23,69.6
18,5,67.44
18,7,66.06
18,29,65.2
18,13,64.8
19,8,74.26
19,21,70.66
19,28,69.14
19,5,68.47
19,20,67.96
20,5,77.34
20,30,75.33
20,8,74.79
20,15,74.3
20,9,74.22
21,18,84.4
21,6,74.45
21,19,71.66
21,28,71.32
21,14,70.15
22,8,74.76
22,21,70.82
22,28,69.49
22,5,69.39
22,14,68.29
23,5,78.49
23,20,76.77
23,30,75.71
23,15,75.44
23,17,74.88
24,18,75.67
24,6,74.07
24,19,69.98
24,28,68.9
24,14,67.74
25,5,79.78
25,8,77.62
25,30,76.47
25,15,75.32
25,9,75.02
